pos medtmrca geno interval
1518090 20 AA out
1528090 18 AA out
1538090 16 AA out
1548090 18 AA out
1558090 15 AA out
1568090 17 AA out
1578090 16 AA out
1588090 14 AA out
1598090 14 AA out
1608090 16 AA out
1618090 16 AA out
1628090 16 AA out
1638090 16 AA out
1648090 16 AA out
1658090 10 AA out
1668090 15 AA out
1678090 15 AA out
1688090 16 AA out
1698090 14 AA out
1708090 16 AA out
1718090 14 AA out
1728090 17 AA out
1738090 12 AA out
1748090 16 AA out
1758090 16 AA out
1768090 19 AA out
1778090 16 AA out
1788090 16 AA out
1798090 16 AA out
1808090 18 AA out
1818090 16 AA out
1828090 15 AA out
1838090 17 AA out
1848090 20 AA out
1858090 16 AA out
1868090 16 AA out
1908090 16 AA out
1918090 16 AA out
1948090 16 AA out
1958090 16 AA out
1978090 12 AA out
1988090 16 AA out
2038090 16 AA out
2048090 16 AA out
2058090 16 AA out
2068090 17 AA out
2078090 16 AA out
2088090 12 AA out
2098090 14 AA out
2108090 14 AA out
2118090 16 AA out
2128090 14 AA out
2138090 16 AA out
2168090 16 AA out
2178090 16 AA out
2248090 15 AA out
2258090 16 AA out
2268090 20 AA out
2278090 16 AA out
2298090 16 AA out
2308090 16 AA out
2328090 18 AA out
2338090 17 AA out
2348090 16 AA out
2358090 16 AA out
2368090 14 AA out
2378090 17 AA out
2388090 16 AA out
2398090 16 AA out
2408090 15 AA out
2418090 17 AA out
2428090 14 AA out
2438090 18 AA out
2448090 18 AA out
2458090 17 AA out
2468090 17 AA out
2478090 18 AA out
2488090 18 AA out
2498090 17 AA out
2508090 18 AA out
2518090 20 AA out
2528090 16 AA out
2538090 16 AA out
2548090 18 AA out
2558090 16 AA out
2568090 18 AA out
2578090 16 AA out
2588090 14 AA out
2598090 16 AA out
2608090 14 AA out
2618090 19 AA out
2628090 14 AA out
2638090 15 AA out
2648090 11 AA out
2658090 18 AA out
2668090 17 AA out
2678090 18 AA out
2688090 17 AA out
2698090 17 AA out
2708090 11 AA out
2718090 20 AA out
2728090 18 AA out
2738090 16 AA out
2748090 16 AA out
2758090 18 AA out
2768090 16 AA out
2798090 16 AA out
2808090 16 AA out
2868090 16 AA out
2878090 14 AA out
2888090 16 AA out
2898090 20 AA out
2908090 16 AA out
2918090 16 AA out
2928090 14 AA out
2938090 18 AA out
2948090 15 AA out
2958090 18 AA out
2968090 19 AA out
2978090 18 AA out
2988090 19 AA out
2998090 18 AA out
3008090 21 AA out
3018090 16 AA out
3028090 18 AA out
3038090 16 AA out
3048090 11 AA out
3058090 16 AA out
3068090 17 AA out
3078090 18 AA out
3088090 20 AA out
3098090 16 AA out
3108090 18 AA out
3118090 18 AA out
3128090 14 AA out
3138090 15 AA out
3148090 15 AA out
3158090 12 AA out
3168090 15 AA out
3178090 16 AA out
3188090 16 AA out
3198090 13 AA out
3208090 14 AA out
3218090 17 AA out
3228090 16 AA out
3238090 18 AA out
3248090 18 AA out
3258090 19 AA out
3268090 16 AA out
3278090 20 AA out
3288090 12 AA out
3298090 20 AA out
3308090 15 AA out
3318090 18 AA out
3328090 18 AA out
3338090 17 AA out
3348090 18 AA out
3358090 18 AA out
3368090 18 AA out
3378090 20 AA out
3388090 18 AA out
3398090 20 AA out
3408090 17 AA out
3418090 15 AA out
3428090 16 AA out
3438090 18 AA out
3448090 17 AA out
3458090 17 AA out
3468090 18 AA out
3478090 19 AA out
3488090 20 AA out
3498090 20 AA out
3508090 20 AA out
3518090 20 AA out
3528090 17 AA out
3538090 18 AA out
3548090 17 AA out
3558090 18 AA out
3568090 16 AA out
3578090 16 AA out
3588090 14 AA out
3598090 14 AA out
3608090 16 AA out
3618090 22 AA out
3628090 16 AA out
3638090 20 AA out
3648090 16 AA out
3658090 17 AA out
3668090 18 AA out
3678090 19 AA out
3688090 14 AA out
3698090 18 AA out
3708090 16 AA out
3718090 15 AA out
3728090 22 AA out
3738090 16 AA out
3748090 20 AA out
3758090 17 AA out
3768090 18 AA out
3778090 17 AA out
3788090 20 AA out
3798090 19 AA out
3808090 18 AA out
3818090 20 AA out
3828090 18 AA out
3838090 19 AA out
3848090 20 AA out
3858090 16 AA out
3868090 16 AA out
3878090 12 AA out
3888090 18 AA out
3898090 17 AA out
3908090 19 AA out
3918090 16 AA out
3928090 18 AA out
3938090 16 AA out
3948090 18 AA out
3958090 18 AA out
3968090 20 AA out
3978090 16 AA out
3988090 14 AA out
3998090 20 AA out
4008090 15 AA out
4018090 18 AA out
4028090 17 AA out
4038090 16 AA out
4048090 20 AA out
4058090 17 AA out
4068090 19 AA out
4078090 18 AA out
4088090 17 AA out
4098090 15 AA out
4108090 16 AA out
4118090 14 AA out
4128090 17 AA out
4138090 16 AA out
4148090 17 AA out
4158090 17 AA out
4168090 16 AA out
4178090 15 AA out
4188090 20 AA out
4198090 19 AA out
4208090 18 AA out
4218090 16 AA out
4228090 17 AA out
4238090 18 AA out
4248090 16 AA out
4258090 18 AA out
4268090 17 AA out
4278090 16 AA out
4288090 16 AA out
4298090 18 AA out
4308090 14 AA out
4318090 16 AA out
4328090 19 AA out
4338090 18 AA out
4348090 14 AA out
4358090 18 AA out
4368090 17 AA out
4378090 16 AA out
4388090 16 AA out
4398090 20 AA out
4408090 14 AA out
4418090 16 AA out
4428090 17 AA out
4438090 24 AA out
4448090 21 AA out
4458090 16 AA out
4468090 19 AA out
4478090 14 AA out
4488090 18 AA out
4498090 18 AA out
4508090 20 AA out
4518090 20 AA out
4528090 14 AA out
4538090 14 AA out
4548090 18 AA out
4558090 18 AA out
4568090 17 AA out
4578090 15 AA out
4588090 14 AA out
4598090 15 AA out
4608090 17 AA out
4618090 18 AA out
4628090 15 AA out
4638090 20 AA out
4648090 17 AA out
4658090 15 AA out
4668090 14 AA out
4678090 18 AA out
4688090 18 AA out
4698090 15 AA out
4708090 14 AA out
4718090 17 AA out
4728090 19 AA out
4738090 18 AA out
4748090 14 AA out
4758090 14 AA out
4768090 18 AA out
4778090 19 AA out
4788090 16 AA out
4798090 15 AA out
4808090 16 AA out
4818090 12 AA out
4828090 16 AA out
4838090 18 AA out
4848090 14 AA out
4858090 16 AA out
4868090 18 AA out
4878090 12 AA out
4888090 18 AA out
4898090 14 AA out
4908090 17 AA out
4918090 18 AA out
4928090 16 AA out
4938090 18 AA out
4948090 17 AA out
4958090 15 AA out
4968090 16 AA out
4978090 18 AA out
4988090 18 AA out
4998090 14 AA out
5008090 16 AA out
5018090 19 AA out
5028090 14 AA out
5038090 15 AA out
5048090 15 AA out
5058090 16 AA out
5068090 15 AA out
5078090 20 AA out
5088090 16 AA out
5098090 16 AA out
5108090 16 AA out
5118090 15 AA out
5128090 19 AA out
5138090 19 AA out
5148090 17 AA out
5158090 13 AA out
5168090 16 AA out
5178090 17 AA out
5188090 18 AA out
5198090 14 AA out
5208090 18 AA out
5218090 14 AA out
5228090 14 AA out
5238090 12 AA out
5248090 16 AA out
5258090 19 AA out
5268090 16 AA out
5278090 16 AA out
5288090 16 AA out
5298090 14 AA out
5308090 16 AA out
5318090 18 AA out
5328090 16 AA out
5338090 19 AA out
5348090 13 AA out
5358090 14 AA out
5368090 16 AA out
5378090 17 AA out
5388090 15 AA out
5398090 17 AA out
5408090 17 AA out
5418090 20 AA out
5428090 15 AA out
5438090 15 AA out
5448090 18 AA out
5458090 20 AA out
5468090 17 AA out
5478090 13 AA out
5488090 18 AA out
5498090 16 AA out
5508090 17 AA out
5518090 18 AA out
5528090 17 AA out
5538090 20 AA out
5548090 15 AA out
5558090 13 AA out
5568090 20 AA out
5578090 16 AA out
5588090 20 AA out
5598090 16 AA out
5608090 19 AA out
5618090 18 AA out
5628090 17 AA out
5638090 14 AA out
5648090 17 AA out
5658090 16 AA out
5668090 16 AA out
5678090 20 AA out
5688090 18 AA out
5698090 16 AA out
5708090 17 AA out
5718090 15 AA out
5728090 18 AA out
5738090 18 AA out
5748090 14 AA out
5758090 20 AA out
5768090 12 AA out
5778090 16 AA out
5788090 14 AA out
5798090 17 AA out
5808090 18 AA out
5818090 16 AA out
5828090 18 AA out
5838090 16 AA out
5848090 20 AA out
5858090 18 AA out
5868090 15 AA out
5878090 13 AA out
5888090 18 AA out
5898090 13 AA out
5908090 12 AA out
5918090 18 AA out
5928090 14 AA out
5938090 17 AA out
5948090 16 AA out
5958090 18 AA out
5968090 16 AA out
5978090 18 AA out
5988090 18 AA out
5998090 18 AA out
6008090 16 AA out
6018090 15 AA out
6028090 17 AA out
6038090 14 AA out
6048090 18 AA out
6058090 20 AA out
6068090 17 AA out
6078090 16 AA out
6088090 16 AA out
6098090 14 AA out
6108090 14 AA out
6118090 14 AA out
6128090 14 AA out
6138090 18 AA out
6148090 16 AA out
6158090 16 AA out
6168090 16 AA out
6178090 14 AA out
6188090 12 AA out
6198090 15 AA out
6208090 17 AA out
6218090 13 AA out
6228090 16 AA out
6238090 14 AA out
6248090 18 AA out
6258090 12 AA out
6268090 14 AA out
6278090 16 AA out
6288090 16 AA out
6298090 22 AA out
6308090 17 AA out
6318090 18 AA out
6328090 16 AA out
6338090 17 AA out
6348090 12 AA out
6358090 18 AA out
6368090 18 AA out
6378090 13 AA out
6388090 18 AA out
6398090 18 AA out
6408090 14 AA out
6418090 18 AA out
6428090 18 AA out
6438090 17 AA out
6448090 14 AA out
6458090 17 AA out
6468090 13 AA out
6478090 13 AA out
6488090 16 AA out
6498090 18 AA out
6508090 17 AA out
6518090 18 AA out
6528090 18 AA out
6538090 18 AA out
6548090 15 AA out
6558090 13 AA out
6568090 18 AA out
6578090 16 AA out
6588090 18 AA out
6598090 18 AA out
6608090 20 AA out
6618090 20 AA out
6628090 18 AA out
6638090 18 AA out
6648090 19 AA out
6658090 14 AA out
6668090 18 AA out
6678090 18 AA out
6688090 14 AA out
6698090 14 AA out
6708090 18 AA out
6718090 16 AA out
6728090 18 AA out
6738090 18 AA out
6748090 16 AA out
6758090 14 AA out
6768090 16 AA out
6778090 14 AA out
6788090 18 AA out
6798090 17 AA out
6808090 18 AA out
6818090 17 AA out
6828090 16 AA out
6838090 18 AA out
6848090 14 AA out
6858090 19 AA out
6868090 16 AA out
6878090 14 AA out
6888090 14 AA out
6898090 19 AA out
6908090 15 AA out
6918090 14 AA out
6928090 18 AA out
6938090 19 AA out
6948090 19 AA out
6958090 20 AA out
6968090 18 AA out
6978090 18 AA out
6988090 14 AA out
6998090 16 AA out
7008090 13 AA out
7018090 16 AA out
7028090 14 AA out
7038090 16 AA out
7048090 18 AA out
7058090 15 AA out
7068090 17 AA out
7078090 19 AA out
7088090 16 AA out
7098090 18 AA out
7108090 20 AA out
7118090 14 AA out
7128090 20 AA out
7138090 14 AA out
7148090 12 AA out
7158090 16 AA out
7168090 18 AA out
7178090 16 AA out
7188090 15 AA out
7198090 18 AA out
7208090 19 AA out
7218090 18 AA out
7228090 14 AA out
7238090 13 AA out
7248090 16 AA out
7258090 15 AA out
7268090 16 AA out
7278090 12 AA out
7288090 16 AA out
7298090 18 AA out
7308090 12 AA out
7318090 16 AA out
7328090 12 AA out
7338090 12 AA out
7348090 18 AA out
7358090 12 AA out
7368090 12 AA out
7378090 16 AA out
7418090 14 AA out
7428090 18 AA out
7438090 12 AA out
7448090 20 AA out
7458090 12 AA out
7468090 16 AA out
7478090 12 AA out
7488090 16 AA out
7498090 11 AA out
7508090 17 AA out
7518090 17 AA out
7528090 12 AA out
7538090 12 AA out
7548090 14 AA out
7558090 14 AA out
7568090 20 AA out
7578090 14 AA out
7588090 15 AA out
7598090 12 AA out
7608090 20 AA out
7618090 20 AA out
7628090 19 AA out
7638090 16 AA out
7648090 17 AA out
7658090 16 AA out
7668090 12 AA out
7678090 16 AA out
7688090 15 AA out
7698090 15 AA out
7708090 9 AA out
7718090 16 AA out
7728090 18 AA out
7738090 18 AA out
7748090 18 AA out
7758090 14 AA out
7768090 16 AA out
7778090 12 AA out
7788090 14 AA out
7798090 13 AA out
7808090 19 AA out
7818090 14 AA out
7828090 16 AA out
7838090 16 AA out
7848090 14 AA out
7858090 14 AA out
7868090 17 AA out
7878090 10 AA out
7888090 14 AA out
7898090 12 AA out
7908090 16 AA out
7918090 18 AA out
7928090 19 AA out
7938090 15 AA out
7948090 16 AA out
7958090 14 AA out
7968090 17 AA out
7978090 14 AA out
7988090 16 AA out
7998090 18 AA out
8008090 20 AA out
8018090 16 AA out
8028090 18 AA out
8038090 14 AA out
8048090 15 AA out
8058090 17 AA out
8068090 14 AA out
8078090 18 AA out
8088090 16 AA out
8098090 14 AA out
8108090 14 AA out
8118090 13 AA out
8128090 18 AA out
8138090 16 AA out
8148090 19 AA out
8158090 14 AA out
8168090 16 AA out
8178090 16 AA out
8188090 14 AA out
8198090 18 AA out
8208090 17 AA out
8218090 12 AA out
8228090 13 AA out
8238090 12 AA out
8248090 16 AA out
8258090 16 AA out
8268090 16 AA out
8278090 17 AA out
8288090 14 AA out
8298090 17 AA out
8308090 10 AA out
8318090 16 AA out
8328090 12 AA out
8338090 16 AA out
8348090 14 AA out
8358090 16 AA out
8368090 13 AA out
8378090 11 AA out
8388090 16 AA out
8398090 20 AA out
8408090 16 AA out
8418090 12 AA out
8428090 16 AA out
8438090 13 AA out
8448090 11 AA out
8458090 14 AA out
8468090 14 AA out
8478090 10 AA out
8488090 16 AA out
8498090 17 AA out
8508090 20 AA out
8518090 18 AA out
8528090 16 AA out
8538090 15 AA out
8548090 15 AA out
8558090 18 AA out
8568090 14 AA out
8578090 17 AA out
8588090 12 AA out
8598090 15 AA out
8608090 19 AA out
8618090 16 AA out
8628090 16 AA out
8638090 17 AA out
8648090 19 AA out
8658090 16 AA out
8668090 15 AA out
8678090 16 AA out
8688090 14 AA out
8698090 16 AA out
8708090 14 AA out
8718090 16 AA out
8728090 14 AA out
8738090 14 AA out
8748090 14 AA out
8758090 12 AA out
8768090 16 AA out
8778090 18 AA out
8788090 18 AA out
8798090 16 AA out
8808090 19 AA out
8818090 13 AA out
8828090 18 AA out
8838090 16 AA out
8848090 17 AA out
8858090 18 AA out
8868090 15 AA out
8878090 15 AA out
8888090 16 AA out
8898090 14 AA out
8908090 15 AA out
8918090 18 AA out
8928090 16 AA out
8938090 15 AA out
8948090 17 AA out
8958090 16 AA out
8968090 14 AA out
8978090 12 AA out
8988090 14 AA out
8998090 16 AA out
9008090 18 AA out
9018090 19 AA out
9028090 15 AA out
9038090 16 AA out
9048090 14 AA out
9058090 10 AA out
9068090 14 AA out
9078090 8 AA out
9088090 13 AA out
9098090 17 AA out
9108090 17 AA out
9118090 18 AA out
9128090 18 AA out
9138090 19 AA out
9148090 18 AA out
9158090 18 AA out
9168090 19 AA out
9178090 13 AA out
9188090 16 AA out
9198090 18 AA out
9208090 18 AA out
9218090 16 AA out
9228090 14 AA out
9238090 16 AA out
9248090 14 AA out
9258090 16 AA out
9268090 20 AA out
9278090 16 AA out
9288090 12 AA out
9298090 14 AA out
9308090 14 AA out
9318090 16 AA out
9328090 17 AA out
9338090 14 AA out
9348090 11 AA out
9358090 18 AA out
9368090 20 AA out
9378090 10 AA out
9388090 12 AA out
9398090 16 AA out
9408090 16 AA out
9418090 16 AA out
9428090 16 AA out
9438090 18 AA out
9448090 20 AA out
9458090 9 AA out
9468090 9 AA out
9478090 16 AA out
9488090 23 AA out
9498090 13 AA out
9508090 18 AA out
9518090 14 AA out
9528090 12 AA out
9538090 18 AA out
9548090 19 AA out
9558090 16 AA out
9568090 14 AA out
9578090 16 AA out
9588090 17 AA out
9598090 18 AA out
9608090 17 AA out
9618090 19 AA out
9628090 12 AA out
9638090 14 AA out
9648090 14 AA out
9658090 14 AA out
9668090 18 AA out
9678090 12 AA out
9688090 14 AA out
9698090 11 AA out
9708090 12 AA out
9718090 18 AA out
9728090 18 AA out
9738090 20 AA out
9748090 21 AA out
9758090 18 AA out
9768090 16 AA out
9778090 14 AA out
9788090 16 AA out
9798090 16 AA out
9808090 20 AA out
9818090 20 AA out
9828090 12 AA out
9838090 18 AA out
9848090 19 AA out
9858090 13 AA out
9868090 16 AA out
9878090 14 AA out
9888090 16 AA out
9898090 18 AA out
9908090 18 AA out
9918090 18 AA out
9928090 18 AA out
9938090 14 AA out
9948090 12 AA out
9958090 10 AA out
9968090 14 AA out
9978090 12 AA out
9988090 15 AA out
9998090 15 AA out
10008100 16 AA out
10018100 18 AA out
10028100 16 AA out
10038100 18 AA out
10048100 16 AA out
10058100 16 AA out
10068100 16 AA out
10078100 14 AA out
10088100 14 AA out
10098100 16 AA out
10108100 16 AA out
10118100 13 AA out
10128100 14 AA out
10138100 18 AA out
10148100 15 AA out
10158100 16 AA out
10168100 15 AA out
10178100 16 AA out
10188100 16 AA out
10198100 16 AA out
10208100 19 AA out
10218100 18 AA out
10228100 19 AA out
10238100 20 AA out
10248100 14 AA out
10258100 16 AA out
10268100 16 AA out
10278100 17 AA out
10288100 18 AA out
10298100 17 AA out
10308100 19 AA out
10318100 20 AA out
10328100 18 AA out
10338100 16 AA out
10348100 14 AA out
10358100 14 AA out
10368100 17 AA out
10378100 16 AA out
10388100 16 AA out
10398100 16 AA out
10408100 13 AA out
10418100 18 AA out
10428100 18 AA out
10438100 16 AA out
10448100 12 AA out
10458100 12 AA out
10468100 12 AA out
10478100 16 AA out
10488100 14 AA out
10498100 14 AA out
10508100 10 AA out
10518100 14 AA out
10528100 14 AA out
10538100 18 AA out
10548100 20 AA out
10558100 13 AA out
10568100 16 AA out
10578100 18 AA out
10588100 15 AA out
10598100 16 AA out
10608100 12 AA out
10618100 19 AA out
10628100 18 AA out
10638100 15 AA out
10648100 14 AA out
10658100 13 AA out
10668100 18 AA out
10678100 18 AA out
10688100 11 AA out
10698100 14 AA out
10708100 12 AA out
10718100 13 AA out
10728100 12 AA out
10738100 16 AA out
10748100 10 AA out
10758100 11 AA out
10768100 14 AA out
10778100 16 AA out
10788100 16 AA out
10798100 14 AA out
10808100 15 AA out
10818100 17 AA out
10828100 12 AA out
10838100 11 AA out
10848100 18 AA out
10858100 14 AA out
10868100 18 AA out
10878100 14 AA out
10888100 18 AA out
10898100 11 AA out
10908100 17 AA out
10918100 14 AA out
10928100 16 AA out
10938100 14 AA out
10948100 17 AA out
10958100 15 AA out
10968100 16 AA out
10978100 14 AA out
10988100 15 AA out
10998100 18 AA out
11008100 18 AA out
11018100 14 AA out
11028100 15 AA out
11038100 18 AA out
11048100 19 AA out
11058100 10 AA out
11068100 14 AA out
11078100 18 AA out
11088100 18 AA out
11098100 16 AA out
11108100 18 AA out
11118100 18 AA out
11128100 14 AA out
11138100 10 AA out
11148100 12 AA out
11158100 14 AA out
11168100 18 AA out
11178100 18 AA out
11188100 16 AA out
11198100 17 AA out
11208100 17 AA out
11218100 20 AA out
11228100 18 AA out
11238100 16 AA out
11248100 19 AA out
11258100 16 AA out
11268100 16 AA out
11278100 16 AA out
11288100 10 AA out
11298100 14 AA out
11308100 18 AA out
11318100 12 AA out
11328100 17 AA out
11338100 16 AA out
11348100 18 AA out
11358100 14 AA out
11368100 14 AA out
11378100 16 AA out
11388100 12 AA out
11398100 19 AA out
11408100 14 AA out
11418100 15 AA out
11428100 15 AA out
11438100 20 AA out
11448100 20 AA out
11458100 14 AA out
11468100 20 AA out
11478100 16 AA out
11488100 16 AA out
11498100 16 AA out
11508100 12 AA out
11518100 9 AA out
11528100 17 AA out
11538100 13 AA out
11548100 13 AA out
11558100 14 AA out
11568100 12 AA out
11578100 14 AA out
11588100 16 AA out
11598100 16 AA out
11608100 11 AA out
11618100 12 AA out
11628100 10 AA out
11638100 16 AA out
11648100 18 AA out
11658100 15 AA out
11668100 10 AA out
11678100 14 AA out
11688100 20 AA out
11698100 10 AA out
11708100 12 AA out
11718100 18 AA out
11728100 15 AA out
11738100 14 AA out
11748100 17 AA out
11758100 14 AA out
11768100 15 AA out
11778100 18 AA out
11788100 16 AA out
11798100 16 AA out
11808100 16 AA out
11818100 14 AA out
11828100 14 AA out
11838100 16 AA out
11848100 16 AA out
11858100 18 AA out
11868100 18 AA out
11878100 8 AA out
11888100 19 AA out
11898100 16 AA out
11908100 14 AA out
11918100 16 AA out
11928100 16 AA out
11938100 16 AA out
11948100 16 AA out
11958100 20 AA out
11968100 16 AA out
11978100 16 AA out
11988100 16 AA out
11998100 18 AA out
12008100 14 AA out
12018100 12 AA out
12028100 12 AA out
12038100 16 AA out
12048100 13 AA out
12058100 21 AA out
12068100 18 AA out
12078100 18 AA out
12088100 12 AA out
12098100 13 AA out
12108100 16 AA out
12118100 16 AA out
12128100 17 AA out
12138100 14 AA out
12148100 20 AA out
12158100 16 AA out
12168100 15 AA out
12178100 13 AA out
12188100 14 AA out
12198100 17 AA out
12208100 20 AA out
12218100 18 AA out
12228100 16 AA out
12238100 14 AA out
12248100 20 AA out
12258100 13 AA out
12268100 13 AA out
12278100 12 AA out
12288100 10 AA out
12298100 18 AA out
12308100 17 AA out
12318100 17 AA out
12328100 18 AA out
12338100 10 AA out
12348100 18 AA out
12358100 14 AA out
12368100 12 AA out
12378100 15 AA out
12388100 14 AA out
12398100 15 AA out
12408100 16 AA out
12418100 12 AA out
12428100 12 AA out
12438100 15 AA out
12448100 19 AA out
12458100 16 AA out
12468100 17 AA out
12478100 16 AA out
12488100 15 AA out
12498100 20 AA out
12508100 20 AA out
12518100 12 AA out
12528100 16 AA out
12538100 15 AA out
12548100 16 AA out
12558100 18 AA out
12568100 16 AA out
12578100 18 AA out
12588100 14 AA out
12598100 12 AA out
12608100 17 AA out
12618100 20 AA out
12628100 20 AA out
12638100 13 AA out
12648100 21 AA out
12658100 16 AA out
12668100 14 AA out
12678100 18 AA out
12688100 12 AA out
12698100 18 AA out
12708100 15 AA out
12718100 20 AA out
12728100 18 AA out
12738100 9 AA out
12748100 12 AA out
12758100 9 AA out
12768100 14 AA out
12778100 12 AA out
12788100 12 AA out
12798100 9 AA out
12808100 12 AA out
12818100 18 AA out
12828100 12 AA out
12838100 16 AA out
12848100 18 AA out
12858100 20 AA out
12868100 14 AA out
12878100 14 AA out
12888100 9 AA out
12898100 14 AA out
12908100 10 AA out
12918100 20 AA out
12928100 20 AA out
12938100 8 AA out
12948100 14 AA out
12958100 15 AA out
12968100 16 AA out
12978100 10 AA out
12988100 18 AA out
12998100 10 AA out
13008100 14 AA out
13018100 14 AA out
13028100 21 AA out
13038100 14 AA out
13048100 16 AA out
13058100 14 AA out
13068100 12 AA out
13078100 16 AA out
13088100 16 AA out
13098100 12 AA out
13108100 18 AA out
13118100 14 AA out
13128100 16 AA out
13138100 16 AA out
13148100 14 AA out
13158100 16 AA out
13168100 13 AA out
13178100 10 AA out
13188100 12 AA out
13198100 18 AA out
13208100 16 AA out
13218100 18 AA out
13228100 13 AA out
13238100 13 AA out
13248100 16 AA out
13258100 12 AA out
13268100 16 AA out
13278100 11 AA out
13288100 12 AA out
13298100 18 AA out
13308100 12 AA out
13318100 9 AA out
13328100 8 AA out
13338100 12 AA out
13348100 10 AA out
13358100 12 AA out
13368100 16 AA out
13378100 10 AA out
13388100 8 AA out
13398100 12 AA out
13408100 14 AA out
13418100 18 AA out
13428100 12 AA out
13438100 12 AA out
13448100 12 AA out
13458100 12 AA out
13468100 15 AA out
13478100 12 AA out
13488100 12 AA out
13498100 20 AA out
13508100 15 AA out
13518100 13 AA out
13528100 18 AA out
13538100 17 AA out
13548100 18 AA out
13558100 16 AA out
13568100 10 AA out
13578100 18 AA out
13588100 12 AA out
13598100 12 AA out
13608100 16 AA out
13618100 12 AA out
13628100 15 AA out
13638100 16 AA out
13648100 18 AA out
13658100 10 AA out
13668100 19 AA out
13678100 14 AA out
13688100 15 AA out
13698100 14 AA out
13708100 14 AA out
13718100 21 AA out
13728100 9 AA out
13738100 12 AA out
13748100 6 AA out
13758100 14 AA out
13768100 20 AA out
13778100 18 AA out
13788100 14 AA out
13798100 16 AA out
13808100 14 AA out
13818100 12 AA out
13828100 16 AA out
13838100 12 AA out
13848100 8 AA out
13858100 14 AA out
13868100 14 AA out
13878100 11 AA out
13888100 16 AA out
13898100 10 AA out
13908100 14 AA out
13918100 10 AA out
13928100 14 AA out
13938100 13 AA out
13948100 18 AA out
13958100 19 AA out
13968100 16 AA out
13978100 20 AA out
13988100 17 AA out
13998100 12 AA out
14008100 12 AA out
14018100 16 AA out
14028100 18 AA out
14038100 12 AA out
14048100 18 AA out
14058100 8 AA out
14068100 10 AA out
14078100 10 AA out
14088100 12 AA out
14098100 13 AA out
14108100 9 AA out
14118100 9 AA out
14128100 10 AA in
14138100 10 AA in
14148100 8 AA in
14158100 8 AA in
14168100 8 AA in
14178100 12 AA in
14188100 18 AA in
14198100 14 AA in
14208100 18 AA in
14218100 14 AA in
14228100 17 AA in
14238100 14 AA in
14248100 18 AA in
14258100 16 AA in
14268100 12 AA in
14278100 13 AA in
14288100 9 AA in
14298100 12 AA in
14308100 11 AA in
14318100 14 AA in
14328100 10 AA in
14338100 14 AA in
14348100 14 AA in
14358100 17 AA in
14368100 14 AA in
14378100 16 AA in
14388100 16 AA in
14398100 10 AA in
14408100 20 AA in
